"","Year","months","Pf","Pv","Rainfall","Recruitment"
"1","2020","January",267,340,0,NA
"2","2020","February",246,278,2.85,NA
"3","2020","March",261,388,93.54,NA
"4","2020","April",159,242,126.37,NA
"5","2020","May",237,312,39.67,NA
"6","2020","June",308,321,28.15,NA
"7","2020","July",326,379,3.84,NA
"8","2020","August",356,375,53.88,NA
"9","2020","September",179,237,31.09,NA
"10","2020","October",282,292,17.41,NA
"11","2020","November",400,409,14.84,NA
"12","2020","December",204,214,0,31
"13","2021","January",311,273,0,74
"14","2021","February",228,238,36.95,107
"15","2021","March",147,148,12.25,126
"16","2021","April",158,181,107.29,142
"17","2021","May",240,187,62.34,155
"18","2021","June",484,413,6.62,181
"19","2021","July",513,569,15.56,209
"20","2021","August",310,467,26.39,220
"21","2021","September",200,241,21.46,222
"22","2021","October",164,241,13.97,224
"23","2021","November",353,356,0.86,230
"24","2021","December",222,268,5.04,237
"25","2022","January",517,428,32.96,242
"26","2022","February",274,401,6.03,246
"27","2022","March",204,238,10.21,248
"28","2022","April",277,197,95.03,252
"29","2022","May",358,270,31.37,262
"30","2022","June",343,246,1.96,267
"31","2022","July",376,212,1.07,275
"32","2022","August",555,347,10.04,280
"33","2022","September",326,216,9.58,281
"34","2022","October",672,390,22.56,NA
"35","2022","November",714,242,2.71,NA
"36","2022","December",497,351,0,NA
